Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,fix_quality.data
1645384986.327642,1733,0,0,,42.339176391666655,-71.08431583166666,4.834,328298.0451260506,4689539.66249443,19.0,T,4
1645384986.5348718,1734,0,0,,42.339176398333336,-71.08431585333334,4.847,328298.04335926287,4689539.663278467,19.0,T,4
1645384986.7250335,1735,0,0,,42.339176376666664,-71.08431581500001,4.849,328298.0464582474,4689539.660795139,19.0,T,4
1645384986.9253008,1736,0,0,,42.33917629833333,-71.08431586833335,4.85,328298.0418513479,4689539.652204519,19.0,T,4
1645384987.1233518,1737,0,0,,42.33917627000001,-71.08431588,4.855,328298.0408131127,4689539.649081878,19.0,T,4
1645384987.3312423,1738,0,0,,42.33917630833333,-71.08431590166666,4.849,328298.03913252044,4689539.653382256,19.0,T,4
1645384987.5445995,1739,0,0,,42.33917629500001,-71.08431593666667,4.853,328298.03621287376,4689539.651972367,19.0,T,4
1645384987.7186284,1740,0,0,,42.33917626166667,-71.08431596000001,4.857,328298.034199908,4689539.648318074,19.0,T,4
1645384987.922533,1741,0,0,,42.33917632833333,-71.0843159,4.837,328298.03932425845,4689539.655599737,19.0,T,4
1645384988.1202765,1742,0,0,,42.339176353333336,-71.08431592166666,4.837,328298.0376073743,4689539.6584195485,19.0,T,4
1645384988.3346803,1743,0,0,,42.33917635166668,-71.08431593833333,4.829,328298.03622981254,4689539.658268135,19.0,T,4
1645384988.524216,1744,0,0,,42.33917637,-71.08431591166666,4.832,328298.038476554,4689539.660250062,19.0,T,4
1645384988.7157712,1745,0,0,,42.339176355,-71.08431589666667,4.834,328298.0396714487,4689539.658554135,19.0,T,4
1645384988.9200208,1746,0,0,,42.33917628999999,-71.08431592166666,4.841,328298.0374349874,4689539.6513868645,19.0,T,4
1645384989.1182158,1747,0,0,,42.33917630333333,-71.08431592166666,4.836,328298.0374712794,4689539.652867431,19.0,T,4
1645384989.3201306,1748,0,0,,42.33917633666667,-71.08431594833336,4.831,328298.03536516713,4689539.656622691,19.0,T,4
1645384989.5248013,1749,0,0,,42.339176333333334,-71.08431593,4.83,328298.0368664237,4689539.65621553,19.0,T,4
1645384989.7164855,1750,0,0,,42.339176333333334,-71.08431593333331,4.832,328298.03659181943,4689539.6562222615,19.0,T,4
1645384989.9207702,1751,0,0,,42.33917629999999,-71.08431594000001,4.838,328298.0359518769,4689539.65253431,19.0,T,4
1645384990.1339607,1752,0,0,,42.33917630833333,-71.08431593499999,4.837,328298.0363864699,4689539.653449567,19.0,T,4
1645384990.3211594,1753,0,0,,42.339176339999995,-71.08431592333334,4.834,328298.03743377805,4689539.65694235,19.0,T,4
1645384990.5253844,1754,0,0,,42.33917635833333,-71.084315925,4.829,328298.0373463774,4689539.658981493,19.0,T,4
1645384990.725079,1755,0,0,,42.33917632666667,-71.08431592000001,4.834,328298.0376720903,4689539.655455054,19.0,T,4
1645384990.9248362,1756,0,0,,42.33917631999999,-71.084315925,4.84,328298.037242038,4689539.654724867,19.0,T,4
1645384991.1172724,1757,0,0,,42.33917633666667,-71.08431597,4.826,328298.03358023555,4689539.656666444,19.0,T,4
1645384991.3219235,1758,0,0,,42.339176353333336,-71.084315955,4.82,328298.0348613238,4689539.658486861,19.0,T,4
1645384991.5200222,1759,0,0,,42.339176325,-71.08431595833333,4.825,328298.0345095969,4689539.655347391,19.0,T,4
1645384991.7175663,1760,0,0,,42.339176314999996,-71.08431598333334,4.824,328298.03242284,4689539.654287452,19.0,T,4
1645384991.9224627,1761,0,0,,42.339176335,-71.08431598333334,4.819,328298.03247727803,4689539.6565082995,19.0,T,4
1645384992.1357412,1762,0,0,,42.33917632833333,-71.08431599166667,4.818,328298.03177261935,4689539.6557848435,19.0,T,4
1645384992.328356,1763,0,0,,42.33917633666667,-71.08431596333334,4.812,328298.034129446,4689539.656652981,19.0,T,4
1645384992.5304525,1764,0,0,,42.33917637166665,-71.08431596833333,4.81,328298.0338128061,4689539.6605495615,19.0,T,4
1645384992.721915,1765,0,0,,42.339176349999995,-71.08431597166667,4.812,328298.0334792233,4689539.658150376,19.0,T,4
1645384992.9202712,1766,0,0,,42.339176333333334,-71.08431596333334,4.822,328298.0341203731,4689539.656282842,19.0,T,4
1645384993.1242285,1767,0,0,,42.339176339999995,-71.08431596166666,4.824,328298.0342758212,4689539.657019759,19.0,T,4
1645384993.327374,1768,0,0,,42.339176339999995,-71.08431598166666,4.82,328298.03262819164,4689539.657060145,19.0,T,4
1645384993.5320563,1769,0,0,,42.339176339999995,-71.084315975,4.819,328298.0331774001,4689539.657046683,19.0,T,4
1645384993.72326,1770,0,0,,42.339176386666665,-71.08431596333334,4.817,328298.03426554095,4689539.662205102,19.0,T,4
1645384993.9170852,1771,0,0,,42.33917639333334,-71.08431596000001,4.812,328298.0345582912,4689539.662938653,19.0,T,4
1645384994.132221,1772,0,0,,42.339176375,-71.08431595666667,4.817,328298.03478299396,4689539.660896145,19.0,T,4
1645384994.318556,1773,0,0,,42.339176376666664,-71.08431596166666,4.815,328298.0343756241,4689539.661091311,19.0,T,4
1645384994.5180552,1774,0,0,,42.339176401666656,-71.08431594833336,4.812,328298.0355420904,4689539.663840446,19.0,T,4
1645384994.7178497,1775,0,0,,42.33917636666667,-71.08431595166667,4.815,328298.0351722199,4689539.659960696,19.0,T,4
1645384994.9201124,1776,0,0,,42.3391764,-71.08431591833333,4.806,328298.03800900246,4689539.663594795,19.0,T,4
1645384995.1248622,1777,0,0,,42.339176401666656,-71.08431595833333,4.804,328298.03471827565,4689539.663860639,19.0,T,4
1645384995.311637,1778,0,0,,42.33917641833334,-71.08431591,4.804,328298.03874541447,4689539.665613744,19.0,T,4
1645384995.534482,1779,0,0,,42.33917644166666,-71.08431591,4.798,328298.0388089254,4689539.668204733,19.0,T,4
1645384995.7162967,1780,0,0,,42.33917644166666,-71.08431593666667,4.798,328298.0366120853,4689539.668258583,19.0,T,4
1645384995.919903,1781,0,0,,42.33917652333333,-71.08431581500001,4.787,328298.046857459,4689539.677081356,19.0,T,4
1645384996.134808,1782,0,0,,42.33917655333333,-71.0843158,4.782,328298.0481748391,4689539.6803823365,19.0,T,4
1645384996.3285103,1783,0,0,,42.33917652333333,-71.08431580666667,4.792,328298.0475439717,4689539.677064528,19.0,T,4
1645384996.5279768,1784,0,0,,42.339176531666666,-71.08431581833332,4.79,328298.04660553724,4689539.67801344,19.0,T,4
1645384996.7251375,1785,0,0,,42.33917656,-71.08431581333333,4.787,328298.047094564,4689539.681149544,19.0,T,4
1645384996.927114,1786,0,0,,42.339176448333326,-71.08431590333333,4.809,328298.0393762819,4689539.668931554,19.0,T,4
1645384997.1262472,1787,0,0,,42.33917645500001,-71.0843159,4.811,328298.0396690321,4689539.669665105,19.0,T,4
1645384997.3176527,1788,0,0,,42.339176470000005,-71.08431589833333,4.803,328298.0398471647,4689539.671327376,19.0,T,4
